Id,Label,0,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles,weighted degree,eigencentrality,degree,stat_inf_class
victor martinez,victor martinez,UFBA,62,0,0,0,0,1,10,0,0,0,527
adriano fialho,adriano fialho,UFBA,62,0,0,0,0,1,10,0,0,0,528
ricardo a. costa,ricardo a. costa,UFPE,54,0,0,0,0,0.4,4,0,0,0,529
luiz a. f. santos,luiz a. f. santos,UTFPR,26,0,0,0,0,1,3,0,0,0,530
daniel m. batista,daniel m. batista,USP,26,0,0,0,0,1,3,0,0,0,531
rodrigo campiolo,rodrigo campiolo,UTFPR,26,0,0,0,0,1,3,0,0,0,532
sandra a. amo,sandra a. amo,UFU,63,0,0,0,0,1,3,0,0,0,533
hiran n. m. ferreira,hiran n. m. ferreira,UFU,63,0,0,0,0,1,3,0,0,0,534
renan g. cattelan,renan g. cattelan,UFU,63,0,0,0,0,1,3,0,0,0,535
rafael d. araujo,rafael d. araujo,UFU,63,0,0,0,0,1,3,0,0,0,536
davi viana,davi viana,UFAM,11,0,0,0,0,1,3,0,0,0,537
gleison santos,gleison santos,UNIRIO,11,0,0,0,0,1,3,0,0,0,538
jacilane rabelo,jacilane rabelo,UFAM,11,0,0,0,0,1,3,0,0,0,539
vinicius b. souza,vinicius b. souza,UESB,48,0,0,0,0,0,0,0,0,0,540
markus endler,markus endler,PUC-Rio,64,0,0,0,0,0,0,0,0,0,541
alexandre skyrme,alexandre skyrme,PUC-Rio,64,0,0,0,0,0,0,0,0,0,542
tania fraga,tania fraga,IMA,21,0,0,0,0,0,0,0,0,0,543
renata m. araujo,renata m. araujo,UNIRIO,44,0,0,0,0,1,1,0,0,0,544
rafael l. tavares,rafael l. tavares,UNIRIO,44,0,0,0,0,1,1,0,0,0,545
ivanilton polato,ivanilton polato,UTFPR,65,0,0,0,0,0,0,0,0,0,546
frank h. borsato,frank h. borsato,UTFPR,65,0,0,0,0,0,0,0,0,0,547
rafael liberato,rafael liberato,UTFPR,26,0,0,0,0,0.7,7,0,0,0,548
joao e. ferreira,joao e. ferreira,USP,26,0,0,0,0,0.7,7,0,0,0,549
andre l. schwerz,andre l. schwerz,UTFPR,26,0,0,0,0,0.7,7,0,0,0,550
jose c. d. arco,jose c. d. arco,Universidad Politécnica de Madrid,62,0,0,0,0,1,1,0,0,0,551
albert moreira,albert moreira,Universidad Politécnica de Madrid,62,0,0,0,0,1,1,0,0,0,552
lucas sauter,lucas sauter,Universidade Feevale,66,0,0,0,0,1,3,0,0,0,553
patricia b. s. bassani,patricia b. s. bassani,Universidade Feevale,66,0,0,0,0,1,3,0,0,0,554
debora n. f. barbosa,debora n. f. barbosa,Universidade Feevale,66,0,0,0,0,1,3,0,0,0,555
viviane a. silva,viviane a. silva,Universidade Feevale,66,0,0,0,0,1,3,0,0,0,556
thereza p. p. padilha,thereza p. p. padilha,UFT,67,0,0,0,0,0,0,0,0,0,557
adriana n. lacerda,adriana n. lacerda,UFT,67,0,0,0,0,0,0,0,0,0,558
carolina s. andrade,carolina s. andrade,IBM,59,0,0,0,0,0.833333,5,0,0,0,559
ana p. appel,ana p. appel,IBM,59,0,0,0,0,0.833333,5,0,0,0,560
victor f. cavalcante,victor f. cavalcante,IBM,59,0,0,0,0,0.833333,5,0,0,0,561
eduardo velloso,eduardo velloso,School of Computing and Communications,44,0,0,0,0,0.666667,2,0,0,0,562
marcio ferreira,marcio ferreira,CEFET-RJ,44,0,0,0,0,0.666667,2,0,0,0,563
diego silveira,diego silveira,UFOP,40,0,0,0,0,1,10,0,0,0,564
leonardo bombonato,leonardo bombonato,UFOP,40,0,0,0,0,1,10,0,0,0,565
thalisson oliveira,thalisson oliveira,UFOP,40,0,0,0,0,1,10,0,0,0,566
reinaldo fortes,reinaldo fortes,UFOP,40,0,0,0,0,1,10,0,0,0,567
alvaro p. jr.,alvaro p. jr.,UFOP,40,0,0,0,0,1,10,0,0,0,568
karen s. figueiredo,karen s. figueiredo,UFF,18,0,0,0,0,0,0,0,0,0,569
jano souza,jano souza,UFRJ,14,0,0,0,0,1,1,0,0,0,570
katia moraes,katia moraes,UFRJ,14,0,0,0,0,1,1,0,0,0,571
straus michalsky,straus michalsky,USP,26,0,0,0,0,0,0,0,0,0,572
igor f. steinmacher,igor f. steinmacher,UTFPR,26,0,0,0,0,0.666667,2,0,0,0,573
vidal d. fontoura,vidal d. fontoura,UTFPR,26,0,0,0,0,0.666667,2,0,0,0,574
